id,title,cluster,clean_text
1qnk0ut,China reveals 200-strong AI drone swarm that can be controlled by a single soldier — ‘intelligent algorithm’ allows individual units to cooperate autonomously even after losing communication with operator,15,China reveals 200 strong AI drone swarm that can be controlled by a single soldier intelligent algorithm allows individual units to cooperate autonomously even after losing communication with operator
1qnhauo,Gene editing takes a major step toward ending daily cholesterol pills,15,Gene editing takes a major step toward ending daily cholesterol pills
1qmmuvl,Stress-reduction molecule has potential to treat aging and metabolic disorders,15,Stress reduction molecule has potential to treat aging and metabolic disorders
1qmkylh,UCLA engineers discover the most heat-conductive metal ever measured,15,UCLA engineers discover the most heat conductive metal ever measured
1qlvhas,Scientists May Have Found a Blueprint to Revive Old Cells,5,Scientists May Have Found a Blueprint to Revive Old Cells
1qlo9ok,Scientists print human liver tissue in breakthrough that could save lives,15,Scientists print human liver tissue in breakthrough that could save lives
1ql8ewk,UC Irvine engineers invent wireless transceiver rivaling fiber-optic speed,15,UC Irvine engineers invent wireless transceiver rivaling fiber optic speed
1ql87uu,New filtration technology could be gamechanger in removal of Pfas ‘forever chemicals’,3,New filtration technology could be gamechanger in removal of Pfas forever chemicals
1ql2wxh,Why Apple and OpenAI are reportedly betting on AI hardware in 2026,15,Why Apple and OpenAI are reportedly betting on AI hardware in 2026
1qkrlsi,This robotic hand can crawl away from its arm to grab things,15,This robotic hand can crawl away from its arm to grab things
1qkk54s,Billion-times more efficient fusion unlocked with low-frequency laser,15,Billion times more efficient fusion unlocked with low frequency laser
1qjwq10,Forestry-waste pine bark could be used to pull antibiotics out of wastewater,15,Forestry waste pine bark could be used to pull antibiotics out of wastewater
1qjtluw,Building the world's first open-source quantum computer,15,Building the world s first open source quantum computer
1qj3ubg,MIT’s new ‘recursive’ framework lets LLMs process 10 million tokens without context rot,15,MIT s new recursive framework lets LLMs process 10 million tokens without context rot
1qiyvmy,Battlefield wound spray stops bleeding in just one second,15,Battlefield wound spray stops bleeding in just one second
1qiofgy,Scientists Discover the Body’s Natural “Off Switch” for Inflammation,15,Scientists Discover the Body s Natural Off Switch for Inflammation
1qi5qap,Magnets produced at room temperature using lasers could produce faster non-silicon processors,15,Magnets produced at room temperature using lasers could produce faster non silicon processors
1qi1ui1,Researchers build a stretchable OLED that can double in size without dimming,9,Researchers build a stretchable OLED that can double in size without dimming
1qh5bqq,A protein found in the GI tract can neutralize many bacteria,16,A protein found in the GI tract can neutralize many bacteria
1qg9dem,Chemists determine the structure of the fuzzy coat that surrounds Tau proteins,15,Chemists determine the structure of the fuzzy coat that surrounds Tau proteins
1qfejyt,Scientists create a spray-on powder that seals life-threatening wounds in seconds,15,Scientists create a spray on powder that seals life threatening wounds in seconds
1qeg7uz,Efficient cooling method could enable chip-based trapped-ion quantum computers,15,Efficient cooling method could enable chip based trapped ion quantum computers
1qeftaw,AI models are starting to crack high-level math problems,15,AI models are starting to crack high level math problems
1qdkdz6,Could glowing green skin be an alternative to blood sampling?,15,Could glowing green skin be an alternative to blood sampling
1qcnwbl,"Scientists develop nanophotonic material that changes color, texture, and shape on demand",18,Scientists develop nanophotonic material that changes color texture and shape on demand
1qbrxib,A single inflammatory switch may help repair the liver,15,A single inflammatory switch may help repair the liver
1qavcqn,These paper batteries made from plants want to replace AA and AAA cells,15,These paper batteries made from plants want to replace AA and AAA cells
1qa1gn0,Spray-on armor for plants offers a new tool for global food security,15,Spray on armor for plants offers a new tool for global food security
1q94q7g,Pills that communicate from the stomach could improve medication adherence,15,Pills that communicate from the stomach could improve medication adherence
1q89i6h,AI-generated sensors open new paths for early cancer detection,15,AI generated sensors open new paths for early cancer detection
1q7f4wz,AI Models Are Starting to Learn by Asking Themselves Questions,15,AI Models Are Starting to Learn by Asking Themselves Questions
1q7bqpb,Experimental molecule may be a potent weapon against Alzheimer’s,15,Experimental molecule may be a potent weapon against Alzheimer s
1q6g4an,AI co-pilot uses machine learning to reduce deadly sea collisions,15,AI co pilot uses machine learning to reduce deadly sea collisions
1q5jrtz,First US at-home depression kit on its way after trial shows relief in weeks,15,First US at home depression kit on its way after trial shows relief in weeks
1q4m09m,'Microneedling' of plants could boost growth and reduce fertilizer waste,15,Microneedling of plants could boost growth and reduce fertilizer waste
1q3qapf,Nano-magnets may defeat bone cancer and help you heal,15,Nano magnets may defeat bone cancer and help you heal
1q1ym6n,Silicon 'postage stamp' implant instantly emails your thoughts to AI,15,Silicon postage stamp implant instantly emails your thoughts to AI
1q14jnt,How battery charging led to a breakthrough in lithium recycling,15,How battery charging led to a breakthrough in lithium recycling
1q0dhrx,Injectable antibodies in nanoparticles could replace hour-long infusions,15,Injectable antibodies in nanoparticles could replace hour long infusions
1pzikee,Tiny under-scalp implant could restore lost senses through prostheses,15,Tiny under scalp implant could restore lost senses through prostheses
1pyngm2,Anything-goes “anyons” may be at the root of surprising quantum experiments,13,Anything goes anyons may be at the root of surprising quantum experiments
1pxrv0j,Mosquitoes' stabby suckers may find use in high-res 3D printers,15,Mosquitoes stabby suckers may find use in high res 3D printers
1pw4x86,Magnetic cloaking is moving from theory to real-world engineering,19,Magnetic cloaking is moving from theory to real world engineering
1pvdysj,World's smallest autonomous robots could one day save your life,15,World s smallest autonomous robots could one day save your life
1puo9sj,'Stingraybot' uses microbubble muscles controlled by ultrasound,15,Stingraybot uses microbubble muscles controlled by ultrasound
1ptvjpf,AI-powered 'glasses' help the blind go places – safely,15,AI powered glasses help the blind go places safely
1pt0kv0,Leaf-scan tells farmers when fruit is ripe – without destroying it,14,Leaf scan tells farmers when fruit is ripe without destroying it
1ps7gcz,No DNA evidence at crime scene? Protein analysis comes to the rescue,15,No DNA evidence at crime scene Protein analysis comes to the rescue
1prfa9p,15-minute hep-C test makes same-day treatment possible,15,15 minute hep C test makes same day treatment possible
1pqmdwz,Scientists find a way to 'reboot' vision in adults with lazy eye,15,Scientists find a way to reboot vision in adults with lazy eye
1ppre9i,Helical rover wheel balloons from 9 to 20 inches &amp; survives fire,15,Helical rover wheel balloons from 9 to 20 inches survives fire
1poxptt,Frog gut bacterium eliminates cancer tumors in mice with a single dose,15,Frog gut bacterium eliminates cancer tumors in mice with a single dose
1poa0sn,ExxonMobil Unveils Graphite Invention To Extend EV Battery Life By 30%,15,ExxonMobil Unveils Graphite Invention To Extend EV Battery Life By 30
1po31w8,Futuristic pixel-raising display lets you feel what’s onscreen,15,Futuristic pixel raising display lets you feel what s onscreen
1pn89ot,A new way to deliver antibodies could make treatment much easier for patients,15,A new way to deliver antibodies could make treatment much easier for patients
1pmf21x,Radial-flux motors supercharge new hybrid supersonic engine design,15,Radial flux motors supercharge new hybrid supersonic engine design
1plmu7w,ADHD 'audio shield' turns sounds from daily tasks into powerful focus tool,15,ADHD audio shield turns sounds from daily tasks into powerful focus tool
1pktgse,California startup's new fire-suppression system uses sound instead of water,15,California startup s new fire suppression system uses sound instead of water
1pjydlg,Soft robots can now see with a self-focusing squishy eye,15,Soft robots can now see with a self focusing squishy eye
1pj47oh,Watch: Glowing tool seeks out DNA damage in real time,15,Watch Glowing tool seeks out DNA damage in real time
1pi9cns,"Pneumatic-suction robot clears 75,000 lb of cargo an hour",15,Pneumatic suction robot clears 75 000 lb of cargo an hour
1phd3lf,Underwater arms race: How robot subs will outwit next-gen sonar,15,Underwater arms race How robot subs will outwit next gen sonar
1pgjktv,MIT researchers “speak objects into existence” using AI and robotics,0,MIT researchers speak objects into existence using AI and robotics
1pfqaa8,First-ever drug to repair DNA and regenerate damaged tissue is here,15,First ever drug to repair DNA and regenerate damaged tissue is here
1pe22mw,Noninvasive imaging could replace finger pricks for people with diabetes,15,Noninvasive imaging could replace finger pricks for people with diabetes
1pd5ufz,DragonFire laser weapon takes down high-speed drones,15,DragonFire laser weapon takes down high speed drones
1pd57e5,Bacteria used to make and dye fiber for clothing in the same vat,15,Bacteria used to make and dye fiber for clothing in the same vat
1pcaqfi,3D-printed cornea restores sight in a legally blind patient for the first time,15,3D printed cornea restores sight in a legally blind patient for the first time
1pbe7h2,Tuneable perovskite: A breakthrough in low-cost solar and laser materials,15,Tuneable perovskite A breakthrough in low cost solar and laser materials
1pajpr5,Stretchy battery inspired by lemons improves voltage and cell life,15,Stretchy battery inspired by lemons improves voltage and cell life
1p8vofc,Lining pipes with lab-grown diamonds can keep them squeaky clean,15,Lining pipes with lab grown diamonds can keep them squeaky clean
1p83tf1,Simple solvent makes polycotton fabric completely recyclable,15,Simple solvent makes polycotton fabric completely recyclable
1p78c7n,"3D-printable concrete alternative hardens in three days, not four weeks",15,3D printable concrete alternative hardens in three days not four weeks
1p6cm0a,A newly discovered 'pain switch' in our brains could unlock safer medications,15,A newly discovered pain switch in our brains could unlock safer medications
1p5jzqg,Turning fat cells into bone heals fractures and reverses frailty,15,Turning fat cells into bone heals fractures and reverses frailty
1p4nlj3,First totally synthetic human brain model has been realized,15,First totally synthetic human brain model has been realized
1p4nev6,AI trained on bacterial genomes produces never-before-seen proteins,15,AI trained on bacterial genomes produces never before seen proteins
1p3tb7w,"Milk protein put to use in spiciness-gauging ""artificial tongue""",15,Milk protein put to use in spiciness gauging artificial tongue
1p2zi7q,Speech-restoring brain chip gets FDA approval for human trial,15,Speech restoring brain chip gets FDA approval for human trial
1p22lah,World first: Breath-saving exoskeleton turbocharges diver's kicks,15,World first Breath saving exoskeleton turbocharges diver s kicks
1p18vm4,A new take on carbon capture,10,A new take on carbon capture
1p0da7j,"Small, inexpensive hydrophone boosts undersea signals",15,Small inexpensive hydrophone boosts undersea signals
1oymihf,Turkey tail mushroom provides alternative to single-use plastic wrap,15,Turkey tail mushroom provides alternative to single use plastic wrap
1oym5mb,"Natural compound rejuvenates aging cells in just 28 days | Researchers have demonstrated how consuming pomegranate and walnuts, can rejuvenate the immune system while shielding us from cell damage, inflammation and chronic diseases including cancer.",15,Natural compound rejuvenates aging cells in just 28 days Researchers have demonstrated how consuming pomegranate and walnuts can rejuvenate the immune system while shielding us from cell damage inflammation and chronic diseases including cancer
1oy5ob7,"New nanoparticle mRNA vaccine may be cheaper and 100 times more powerful | Unit-per-unit, the experimental nanoparticle-enhanced mRNA vaccine reportedly does the work of a hundred times as much of its FDA-approved equivalent",15,New nanoparticle mRNA vaccine may be cheaper and 100 times more powerful Unit per unit the experimental nanoparticle enhanced mRNA vaccine reportedly does the work of a hundred times as much of its FDA approved equivalent
1oxrrdk,Nuclear waste may hold the key to greener hydrogen production,15,Nuclear waste may hold the key to greener hydrogen production
1ox1c7t,Revolutionary biofuel battery is inspired by human metabolism | Using glucose and riboflavin in the creation of a biofuel flow cell which functions similarly to a human cell.,15,Revolutionary biofuel battery is inspired by human metabolism Using glucose and riboflavin in the creation of a biofuel flow cell which functions similarly to a human cell
1owxoyv,MIT senior turns waste from the fishing industry into biodegradable plastic,15,MIT senior turns waste from the fishing industry into biodegradable plastic
1owvj8c,"Injectable weight-loss drug helps shift stubborn pounds post-surgery | When post-surgery weight loss is suboptimal, introducing one of the newer weight loss drugs can help",15,Injectable weight loss drug helps shift stubborn pounds post surgery When post surgery weight loss is suboptimal introducing one of the newer weight loss drugs can help
1ow30qa,New lightweight polymer film can prevent corrosion,15,New lightweight polymer film can prevent corrosion
1ow04l6,Interstellar-inspired TARS3D may be first such robot that both walks and rolls | Scientists have created a real-life functional version of the TARS robot from the movie Interstellar,15,Interstellar inspired TARS3D may be first such robot that both walks and rolls Scientists have created a real life functional version of the TARS robot from the movie Interstellar
1ovyj9z,Natural molecule reverses memory loss seen in Alzheimer's disease | Scientists identify a new weapon in restoring memory to Alzheimer's disease patients,15,Natural molecule reverses memory loss seen in Alzheimer s disease Scientists identify a new weapon in restoring memory to Alzheimer s disease patients
1ov6kj6,Teaching robots to map large environments,15,Teaching robots to map large environments
1ov3lkv,"MIT's injectable brain chips could treat disease without surgery | MIT's Circulatronics tech sees tiny chips injected into the bloodstream to reach the brain, negating the need for invasive surgery to deliver treatment for neurological disorders",15,MIT s injectable brain chips could treat disease without surgery MIT s Circulatronics tech sees tiny chips injected into the bloodstream to reach the brain negating the need for invasive surgery to deliver treatment for neurological disorders
1ouafw0,A new way to understand and predict gene splicing,4,A new way to understand and predict gene splicing
1ou80lz,MIT physicists observe key evidence of unconventional superconductivity in magic-angle graphene,15,MIT physicists observe key evidence of unconventional superconductivity in magic angle graphene
1ou7znr,One-off lipid-lowering gene therapy a success in world-first human trial | A new gene therapy lowered two heart disease-related lipids in a human clinical trial,15,One off lipid lowering gene therapy a success in world first human trial A new gene therapy lowered two heart disease related lipids in a human clinical trial
1ote4b3,A new patch could help to heal the heart,15,A new patch could help to heal the heart
1osl0gs,New therapeutic brain implants could defy the need for surgery,15,New therapeutic brain implants could defy the need for surgery
1osjysu,"Giving buildings an “MRI” to make them more energy-efficient and resilient | Lamarr.AI uses drones, thermal imaging, and AI to help property owners make targeted investments in their buildings.",15,Giving buildings an MRI to make them more energy efficient and resilient Lamarr AI uses drones thermal imaging and AI to help property owners make targeted investments in their buildings
1osjwmp,Smart dressings and stem cells: The future of wound healing | Researchers have compared newer wound-healing tech to conventional therapies and dressings,15,Smart dressings and stem cells The future of wound healing Researchers have compared newer wound healing tech to conventional therapies and dressings
1orqtni,MIT study finds targets for a new tuberculosis vaccine,15,MIT study finds targets for a new tuberculosis vaccine
1orpz0n,Particles that enhance mRNA delivery could reduce vaccine dosage and costs,15,Particles that enhance mRNA delivery could reduce vaccine dosage and costs
1orhdth,SpaceX reveals simpler lander to speed up Moon return,15,SpaceX reveals simpler lander to speed up Moon return
1or1vt6,"Students built a robot that can withstand more than 1,000 degrees Fahrenheit",15,Students built a robot that can withstand more than 1 000 degrees Fahrenheit
1oqupu3,A Neuralink patient with ALS is using his brain implant to control a camera and look around again,15,A Neuralink patient with ALS is using his brain implant to control a camera and look around again
1opzkar,3D-object-making machine forgoes printing for knitting,15,3D object making machine forgoes printing for knitting
1opviil,‘Mind-captioning’ AI decodes brain activity to turn thoughts into text,15,Mind captioning AI decodes brain activity to turn thoughts into text
1op363o,Simple saliva test catches heart failure before you know you have it,15,Simple saliva test catches heart failure before you know you have it
1oozy3b,A New Light-Based Cancer Treatment Kills Tumor Cells and Spares Healthy Ones,15,A New Light Based Cancer Treatment Kills Tumor Cells and Spares Healthy Ones
1oo8t1s,Designer drug targets both heart disease and diabetes,15,Designer drug targets both heart disease and diabetes
1ond2wz,"Designing better, longer-lasting medicines",2,Designing better longer lasting medicines
1omhwkm,Biochips made from mushrooms rival power of manmade semiconductors,15,Biochips made from mushrooms rival power of manmade semiconductors
1okucbg,New nanoparticles stimulate the immune system to attack ovarian tumors,15,New nanoparticles stimulate the immune system to attack ovarian tumors
1oj4pzt,Fat breakdown fuels new hair growth in breakthrough study,15,Fat breakdown fuels new hair growth in breakthrough study
1oi8wdr,Swiss smart socks help diabetics feel their feet again,15,Swiss smart socks help diabetics feel their feet again
1ogkg1j,New Space Armor shields satellites from hypersonic space debris,15,New Space Armor shields satellites from hypersonic space debris
1ofs1gu,Forensics’ “Holy Grail”: New Test Recovers Fingerprints From Ammunition Casing,14,Forensics Holy Grail New Test Recovers Fingerprints From Ammunition Casing
1ofqd2z,Startup’s tablets deliver cancer drugs more evenly over time,15,Startup s tablets deliver cancer drugs more evenly over time
1ofezo6,Miami Has a New Cop on the Beat: A Drone-Launching Police Car That Can Drive Itself,15,Miami Has a New Cop on the Beat A Drone Launching Police Car That Can Drive Itself
1oexycx,Real-Time Audio Deepfakes Are Now a Reality | A cybersecurity firm has created convincing voices on the fly,15,Real Time Audio Deepfakes Are Now a Reality A cybersecurity firm has created convincing voices on the fly
1oexxcb,AI teaches itself and outperforms human-designed algorithms,14,AI teaches itself and outperforms human designed algorithms
1oex8bb,Pioneering eye implant restores reading vision to the blind,15,Pioneering eye implant restores reading vision to the blind
1oe4r3q,A new autonomous fighter jet just broke cover. It's powered by the same AI brain that flew an F-16 through a dogfight.,15,A new autonomous fighter jet just broke cover It s powered by the same AI brain that flew an F 16 through a dogfight
1oe2ib9,Bowel cancer’s “sugar shield” removed to reawaken immune defenses,15,Bowel cancer s sugar shield removed to reawaken immune defenses
1odbuvo,App that translates speech to sign language in real-time wins top innovation prize,8,App that translates speech to sign language in real time wins top innovation prize
1od780y,IBS breakthrough: Serotonin-making gut bugs restore bowel function,15,IBS breakthrough Serotonin making gut bugs restore bowel function
1obhtwa,Cancer drug combo slashes risk of death by more than 40%,15,Cancer drug combo slashes risk of death by more than 40
1oaotd7,Sake to the stars: Japan’s lunar brewing experiment set for takeoff,1,Sake to the stars Japan s lunar brewing experiment set for takeoff
1o9xy5p,Ulcer-treating device is like a little pen that you swallow,15,Ulcer treating device is like a little pen that you swallow
1o90ynn,95% of kids with “bubble boy” disease cured by one-time gene therapy,15,95 of kids with bubble boy disease cured by one time gene therapy
1o861b4,New approach shields memory from brain cancer radiotherapy,15,New approach shields memory from brain cancer radiotherapy
1o7adwi,Helping scientists run complex data analyses without writing code,14,Helping scientists run complex data analyses without writing code
1o6eogc,Two-pronged approach cuts sleep apnea events by 68%,15,Two pronged approach cuts sleep apnea events by 68
1o5j1j1,Naked mole-rat DNA repair could unlock natural human longevity,15,Naked mole rat DNA repair could unlock natural human longevity
1o4p02i,Engineered “natural killer” cells could help fight cancer,15,Engineered natural killer cells could help fight cancer
1o3vw6e,Forged in disorder: High-entropy MXenes emerge as a new material,11,Forged in disorder High entropy MXenes emerge as a new material
1o2zyym,Next-gen vaccine prevents up to 88% of multiple aggressive cancers,15,Next gen vaccine prevents up to 88 of multiple aggressive cancers
1o24xx8,New daily pill shows strong results in ulcerative colitis clinical trial,15,New daily pill shows strong results in ulcerative colitis clinical trial
1o1ahsj,'Breakthrough' blood test detects chronic fatigue in 92% of cases,15,Breakthrough blood test detects chronic fatigue in 92 of cases
1o0i23l,"New sunlight-powered film kills 99.995% bacteria to provide safe drinking water | It offers a simple, affordable, and robust solution to the global safe drinking water crisis.",15,New sunlight powered film kills 99 995 bacteria to provide safe drinking water It offers a simple affordable and robust solution to the global safe drinking water crisis
1o0dk1n,"Printable aluminum alloy sets strength records, may enable lighter aircraft parts",15,Printable aluminum alloy sets strength records may enable lighter aircraft parts
1o0b42k,Tiny lab-grown brains could help build the next generation of computers | Biocomputing has left the realm of science fiction and entered the laboratory,15,Tiny lab grown brains could help build the next generation of computers Biocomputing has left the realm of science fiction and entered the laboratory
1nzmd2l,"Ocean CO2 becomes sustainable plastic, thanks to modified microbes | Turning dissolved carbon dioxide from seawater to biodegradable plastic is an especially powerful way to clean up the ocean",15,Ocean CO2 becomes sustainable plastic thanks to modified microbes Turning dissolved carbon dioxide from seawater to biodegradable plastic is an especially powerful way to clean up the ocean
1nzfpoi,How Wi-Fi Signals Can Be Used to Detect Your Heartbeat | Contactless pulse monitoring opens up new wearable possibilities,15,How Wi Fi Signals Can Be Used to Detect Your Heartbeat Contactless pulse monitoring opens up new wearable possibilities
1nzfgso,Chemists create red fluorescent dyes that may enable clearer biomedical imaging | The new dyes are based on boron-containing molecules that were previously too unstable for practical use.,15,Chemists create red fluorescent dyes that may enable clearer biomedical imaging The new dyes are based on boron containing molecules that were previously too unstable for practical use
1nzfd73,"Smart in-asphalt fabric provides live reports from within roads | Once embedded in the asphalt, the sensor fabric’s job is to provide continuous measurements",15,Smart in asphalt fabric provides live reports from within roads Once embedded in the asphalt the sensor fabric s job is to provide continuous measurements
1nzfaht,"'Sugar switch' in the brain offers new path to treating depression | Removing the St3gal1 enzyme in healthy mice caused depressive symptoms, increasing St3gal1 in stressed mice had the opposite effect, easing those behaviors.",15,Sugar switch in the brain offers new path to treating depression Removing the St3gal1 enzyme in healthy mice caused depressive symptoms increasing St3gal1 in stressed mice had the opposite effect easing those behaviors
1nynmwe,Psychedelic DMT shows promise as breakthrough stroke treatment,15,Psychedelic DMT shows promise as breakthrough stroke treatment
1nxv83p,Parachutes with hundreds of holes could enable safer drone deliveries,15,Parachutes with hundreds of holes could enable safer drone deliveries
1nxscj6,"A groundbreaking study has revealed that your mom and dad’s DNA don’t just pass on telomere length, they actively reshape it in the first days of life, influencing how we age and our risk of developing diseases such as cancer.",15,A groundbreaking study has revealed that your mom and dad s DNA don t just pass on telomere length they actively reshape it in the first days of life influencing how we age and our risk of developing diseases such as cancer
1nwzuea,NASA moon rover project pushes extreme battery tech to its limits,15,NASA moon rover project pushes extreme battery tech to its limits
1nwvnsp,Next-gen imaging tech could catch sight-stealing diseases early | A powerful new imaging tool offers unprecedented 3D vision of the retina,15,Next gen imaging tech could catch sight stealing diseases early A powerful new imaging tool offers unprecedented 3D vision of the retina
1nw5nqm,"MIT's concrete battery just got 10 times more powerful | Researchers found a way to combine cement, water, and carbon black to create a 'supercapacitor', expanding the storage capacity by nearly 10 times.",15,MIT s concrete battery just got 10 times more powerful Researchers found a way to combine cement water and carbon black to create a supercapacitor expanding the storage capacity by nearly 10 times
1nw2k8b,This chip uses light to supercharge AI and cut energy use,15,This chip uses light to supercharge AI and cut energy use
1nw0fgn,"Palladium filters could enable cheaper, more efficient generation of hydrogen fuel | The novel design allows the membranes to withstand high temperatures when separating hydrogen from gas mixtures.",15,Palladium filters could enable cheaper more efficient generation of hydrogen fuel The novel design allows the membranes to withstand high temperatures when separating hydrogen from gas mixtures
1nvzkbv,"Notorious Alzheimer’s protein also supercharges cells against cancer | Scientists have found that a byproduct of amyloid-beta rejuvenates T cells, boosting their tumor-fighting power and dramatically reducing cancer risk.",15,Notorious Alzheimer s protein also supercharges cells against cancer Scientists have found that a byproduct of amyloid beta rejuvenates T cells boosting their tumor fighting power and dramatically reducing cancer risk
1nvjz4n,"Edible sensor warns of flu by tasting like thyme | The molecular sensor contains a phenolic compound called thymol, which is found in thyme",15,Edible sensor warns of flu by tasting like thyme The molecular sensor contains a phenolic compound called thymol which is found in thyme
1nv7jq1,Artificial neuron melds electronics and biology to function like the real thing,15,Artificial neuron melds electronics and biology to function like the real thing
1nv6bxv,Oak Ridge's new 3D printer can mix and match materials at massive scale | Scientists unveil multiplexed nozzle for next-generation 3D printing,15,Oak Ridge s new 3D printer can mix and match materials at massive scale Scientists unveil multiplexed nozzle for next generation 3D printing
1nuwsa7,Study finds key role for non-neural brain cells in processing vision | MIT researchers employed a novel application of tools and analysis to show that astrocytes ensure neural information processing by maintaining ambient levels of the neurotransmitter chemical GABA.,15,Study finds key role for non neural brain cells in processing vision MIT researchers employed a novel application of tools and analysis to show that astrocytes ensure neural information processing by maintaining ambient levels of the neurotransmitter chemical GABA
1nucil7,A boost for the precision of genome editing,15,A boost for the precision of genome editing
1nuce6u,"Spider-like construction robot promises to build a home per day | Being autonomously capable of building a 2,150-sq-ft home in a single day – operating at roughly the speed of 100 bricklayers.",15,Spider like construction robot promises to build a home per day Being autonomously capable of building a 2 150 sq ft home in a single day operating at roughly the speed of 100 bricklayers
1ntgxhg,"Low-dose radiation relieves knee osteoarthritis pain, improves function",15,Low dose radiation relieves knee osteoarthritis pain improves function
1nsnyq5,“Bottlebrush” particles deliver big chemotherapy payloads directly to cancer cells,15,Bottlebrush particles deliver big chemotherapy payloads directly to cancer cells
1nsnjy0,"UV light is a fast, effective way to deactivate indoor airborne allergens | UV222 light is a passive, quick way to inactivate indoor airborne allergens like cat dander",15,UV light is a fast effective way to deactivate indoor airborne allergens UV222 light is a passive quick way to inactivate indoor airborne allergens like cat dander
